productType,brand,yearOfManufacture,conditionId,warrantyPolicy,mileage,rangePerCharge,batteryCapacity,batteryType,chargeCycles,batteryLifespan,maxSpeed,color,chargeTime,compatibleVehicle,FINAL_SALE_PRICE
car,Vinfast,2023,1,Còn bảo hành chính hãng,12000,310,82 kWh,LFP,110,,175.0,Trắng,6-8 giờ,,820500000
car,Tesla,2021,2,Hết bảo hành,45000,480,100 kWh,NCA,350,,250,Đen,8-10 giờ,,1350000000
motorbike,Dat Bike,2022,2,Hết bảo hành,8500,160,68 Ah,Lithium-ion,300,,90,Xanh,3 giờ,,52000000
car,Hyundai,2022,3,Hết bảo hành,62000,410,72 kWh,NMC,510,,180,Bạc,7 giờ,,910000000
bike,Giant,2023,1,Còn bảo hành chính hãng,800,80,15 Ah,Lithium-ion,80,,25.0,Đỏ,5 giờ,,16500000
battery,LG Chem,2022,2,Hết bảo hành,,,50 kWh,NMC,150,24 tháng,,,6-7 giờ,"Hyundai Ioniq 5, Kia EV6",95000000
car,Kia,2023,2,Còn bảo hành chính hãng,22000,430,77 kWh,NMC,180,,185.0,Xanh rêu,7 giờ,,1080000000
car,Wuling,2024,1,Còn bảo hành chính hãng,1500,170,27 kWh,LFP,30,,100,Hồng,8 giờ,,215000000
motorbike,Yadea,2021,3,Hết bảo hành,15000,80,32 Ah,LFP,600,,50,Trắng,6-8 giờ,,18000000
bike,Xiaomi,2023,2,Hết bảo hành,1200,45.0,12 Ah,Lithium-ion,120,,25.0,Đen,4 giờ,,7500000
car,Vinfast,2022,3,Hết bảo hành,55000,290,82 kWh,LFP,450,,175.0,Xám,6-8 giờ,,690000000
car,Mercedes,2023,1,Còn bảo hành chính hãng,9000,600,108 kWh,NMC,90,,210,Đen bóng,10 giờ,,3100000000
battery,CATL,2023,1,Còn bảo hành chính hãng,,,80 kWh,LFP,50,6 tháng,,,8 giờ,Nhiều loại xe TQ,180000000
car,BYD,2023,2,Còn bảo hành chính hãng,18000,410,60 kWh,LFP,150,,160,Xanh da trời,7 giờ,,620000000
motorbike,Vinfast,2024,1,Còn bảo hành chính hãng,2000,200,48 Ah,LFP,40,,90,Cam,4 giờ,,58000000
car,Tesla,2020,3,Hết bảo hành,80000,450,100 kWh,NCA,600,,250,Trắng,8-10 giờ,,1100000000
bike,Specialized,2022,2,Hết bảo hành,3500,120,20 Ah,Lithium-ion,200,,25.0,Đen mờ,6 giờ,,45000000
car,Porsche,2023,1,Còn bảo hành chính hãng,5000,450,93 kWh,NMC,50,,260,Đỏ,9 giờ,,5200000000
battery,Vinfast,2023,1,Còn bảo hành chính hãng,,,48 Ah,LFP,30,5 tháng,,,4 giờ,Vinfast Evo 200,15000000
car,Audi,2022,2,Hết bảo hành,30000,400,95 kWh,NMC,250,,200,Xám,9 giờ,,2500000000
motorbike,Pega,2020,4,Hết bảo hành,25000,60,25 Ah,Lead Acid,800,,45.0,Đỏ,8-10 giờ,,9500000
car,Hyundai,2023,1,Còn bảo hành chính hãng,15000,420,72 kWh,NMC,130,,180,Trắng,7 giờ,,980000000
car,Vinfast,2021,4,Hết bảo hành,90000,250,42 kWh,Lithium-ion,700,,170,Bạc,6 giờ,,380000000
bike,Ado,2023,2,Hết bảo hành,1500,60,10 Ah,Lithium-ion,100,,25.0,Xám,5 giờ,,10000000
battery,Samsung SDI,2022,2,Hết bảo hành,,,60 kWh,NMC,200,18 tháng,,,7 giờ,"BMW i3, Fiat 500e",110000000
car,BMW,2022,2,Còn bảo hành chính hãng,28000,500,105 kWh,NMC,200,,200,Xanh đậm,10 giờ,,3200000000
motorbike,Dibao,2022,3,Hết bảo hành,12000,70,28 Ah,Lead Acid,500,,50,Đen,8-10 giờ,,11500000
car,MG,2023,2,Còn bảo hành chính hãng,21000,350,51 kWh,LFP,180,,160,Đỏ,7 giờ,,480000000
car,Vinfast,2024,1,Còn bảo hành chính hãng,3000,400,92 kWh,LFP,30,,190,Xanh rêu,7-9 giờ,,1050000000
battery,BYD,2024,1,Còn bảo hành chính hãng,,,100 kWh,LFP,20,3 tháng,,,7 giờ,"BYD Atto 3, Dolphin",210000000
bike,Trek,2021,3,Hết bảo hành,6000,90,18 Ah,Lithium-ion,350,,25.0,Bạc,6 giờ,,28000000
car,Tesla,2023,1,Còn bảo hành chính hãng,10000,500,100 kWh,NCA,90,,250,Xanh,8-10 giờ,,1600000000
motorbike,Gogoro,2023,2,Còn bảo hành chính hãng,5000,100,40 Ah,Lithium-ion,150,,85.0,Trắng,2.5 giờ,,38000000
car,Kia,2022,3,Hết bảo hành,58000,410,77 kWh,NMC,400,,185.0,Đen,7 giờ,,950000000
car,Honda,2023,1,Còn bảo hành chính hãng,11000,380,68 kWh,NMC,100,,160,Trắng,6 giờ,,750000000
battery,Panasonic,2022,3,Hết bảo hành,,,75 kWh,NCA,300,28 tháng,,,8 giờ,Tesla Model 3/Y,120000000
bike,Asama,2022,3,Hết bảo hành,4000,50,10 Ah,Lithium-ion,250,,25.0,Xanh,6 giờ,,8000000
car,Vinfast,2022,2,Hết bảo hành,35000,300,82 kWh,LFP,300,,175.0,Đỏ,6-8 giờ,,760000000
motorbike,Niu,2023,2,Còn bảo hành chính hãng,6000,90,35 Ah,Lithium-ion,180,,70,Xám,5 giờ,,31000000
car,Wuling,2023,2,Còn bảo hành chính hãng,10000,170,27 kWh,LFP,100,,100,Vàng,8 giờ,,190000000
car,Mercedes,2021,3,Hết bảo hành,48000,550,108 kWh,NMC,350,,210,Bạc,10 giờ,,2500000000
battery,Lishen,2023,1,Còn bảo hành chính hãng,,,20 Ah,LFP,40,4 tháng,,,3 giờ,"Xe máy điện, xe đạp điện",3500000
